ticker,company_name,current_index,market_cap,rank,predicted_action
AJB.L,AJ Bell,FTSE 250,2433102848.0,142.0,no change
DRX.L,Drax Group,FTSE 250,2430876160.0,143.0,no change
HVPE.L,HarbourVest Global Private Equity,FTSE 250,2412563200.0,144.0,no change
ATT.L,Allianz Technology Trust,FTSE 250,2411231744.0,145.0,no change
UKW.L,Greencoat UK Wind,FTSE 250,2392775680.0,146.0,no change
BME.L,B&M,FTSE 250,2329678848.0,147.0,no change
TCAP.L,TP ICAP,FTSE 250,2325355008.0,148.0,no change
DLN.L,Derwent London,FTSE 250,2321871360.0,149.0,no change
JTC.L,JTC,FTSE 250,2301965056.0,150.0,no change
KIE.L,Kier Group,FTSE 250,2278688256.0,151.0,no change
HILS.L,Hill & Smith,FTSE 250,2275631104.0,152.0,no change
HMSO.L,Hammerson,FTSE 250,2231794432.0,153.0,no change
PAF.L,Pan African Resources,FTSE 250,2221935616.0,154.0,no change
MYI.L,Murray International Trust,FTSE 250,2188706560.0,155.0,no change
FEV.L,Fidelity European Trust,FTSE 250,2176956928.0,156.0,no change
PNN.L,Pennon Group,FTSE 250,2176571904.0,157.0,no change
N91.L,Ninety One,FTSE 250,2167940608.0,158.0,no change
MGNS.L,Morgan Sindall Group,FTSE 250,2128302208.0,159.0,no change
KLR.L,Keller Group,FTSE 250,2102217728.0,160.0,no change
GNC.L,Greencore,FTSE 250,2101805184.0,161.0,no change
HTWS.L,Helios Towers,FTSE 250,2082690688.0,162.0,no change
GFTU.L,Grafton Group,FTSE 250,2071971328.0,163.0,no change
JAM.L,JPMorgan American Investment Trust,FTSE 250,2060371584.0,164.0,no change
CLDN.L,Caledonia Investments,FTSE 250,2030562560.0,165.0,no change
OCDO.L,Ocado Group,FTSE 250,2025520128.0,166.0,no change
HGT.L,Hg Capital Trust,FTSE 250,1912170880.0,167.0,no change
CMCX.L,CMC Markets,FTSE 250,1883368960.0,168.0,no change
GRG.L,Greggs,FTSE 250,1869854976.0,169.0,no change
MRC.L,Mercantile Investment Trust,FTSE 250,1817007616.0,170.0,no change
DNLM.L,Dunelm Group,FTSE 250,1789053312.0,171.0,no change
BRWM.L,BlackRock World Mining Trust,FTSE 250,1778489216.0,172.0,no change
